symbol,signalDate,entryDate,exitDate,entryPrice,stop,t1,t2,exitReason,holdSessions,netReturnPct,netR,mfPct,fpiPct,totalDeltaPct,previousTotalDeltaPct,largeDealNetBuyRatio,institutionalScore
GAEL,2026-04-17,2026-04-20,2026-04-30,148.1,140.09,164.13,172.14,Time Exit,10,4.865,0.899,0.002,0,0,-0.188,0,0
PFOCUS,2026-04-20,2026-04-21,2026-04-29,327.55,302.44,377.76,402.87,Initial Stop,7,-7.965,-1.039,0.001,0,0,0.001,0,1
ABSLAMC,2026-04-22,2026-04-23,2026-05-06,1019.95,964.3,1131.25,1186.91,Time Exit,10,4.284,0.785,0.064,0,0.006,-0.002,0,1
EPL,2026-04-23,2026-04-24,2026-05-07,223.21,211.63,246.37,257.95,Time Exit,10,4.695,0.905,0.07,0,0,-0.01,0,0
BAJAJCON,2026-04-27,2026-04-28,2026-05-08,448.35,417.75,509.56,540.16,T2,9,16.764,2.456,0.134,0,-0.016,0.004,0,1
APOLLOPIPE,2026-04-28,2026-04-29,2026-05-07,433.2,401.11,497.39,529.48,T2,7,18.221,2.46,0.081,0,-0.011,-0.022,0,0
LUMAXTECH,2026-04-28,2026-04-29,2026-04-30,1663.2,1559.77,1870.06,1973.49,Initial Stop,2,-6.519,-1.048,0.142,0,0.003,-13.541,0,1
JINDALSAW,2026-04-29,2026-04-30,2026-05-13,228,214.86,254.27,267.41,Time Exit,10,2.261,0.392,0.054,0,0.022,-0.008,0,1
DIACABS,2026-04-30,2026-04-30,2026-05-14,157.8,147.62,178.15,188.33,T2,10,15.822,2.453,0.001,0,0,0,0,0
GRAPHITE,2026-04-30,2026-05-04,2026-05-15,707.1,667.26,786.78,826.62,Time Exit,10,10.097,1.792,0.086,0,0.007,0.004,0,2
KRISHANA,2026-04-30,2026-05-04,2026-05-15,600.1,554.09,692.13,738.14,Time Exit,10,13.162,1.717,0,0,0,0,0,0
PFC,2026-04-30,2026-04-30,2026-05-14,448.4,431.56,482.09,498.93,Time Exit,10,0.38,0.101,0.093,0,-0.008,-0.005,0,0
CHENNPETRO,2026-05-05,2026-05-06,2026-05-12,1082.6,1007.98,1231.84,1306.46,Initial Stop,5,-7.193,-1.044,0.016,0,0.009,-1.763,0,1
GMDCLTD,2026-05-06,2026-05-07,2026-05-11,699.8,655.08,789.24,833.96,Initial Stop,3,-6.69,-1.047,0.005,0,0.001,0.003,0,2
GUJALKALI,2026-05-08,2026-05-11,2026-05-12,735.15,687.37,830.72,878.5,Initial Stop,2,-6.8,-1.046,0.021,0,-0.01,0,0.002,0
ABCAPITAL,2026-05-11,2026-05-12,2026-05-25,352.45,338.73,379.89,393.61,Time Exit,10,2.878,0.739,0.077,0,0.012,-5.695,0,1
ADANIENSOL,2026-05-11,2026-05-12,2026-05-13,1340.4,1252.06,1517.08,1605.42,Initial Stop,2,-6.891,-1.046,0.066,0,0.002,0.002,0,2
ENGINERSIN,2026-05-11,2026-05-12,2026-05-12,248.4,237.46,270.27,281.21,Initial Stop,1,-4.702,-1.068,0.106,0,-0.008,-0.001,0,0
EQUITASBNK,2026-05-11,2026-05-12,2026-05-18,69.6,66.45,75.9,79.04,Initial Stop,5,-4.823,-1.066,0.452,0,0,0.019,0,1
KTKBANK,2026-05-11,2026-05-12,2026-05-18,250.5,240.57,270.37,280.3,Initial Stop,5,-4.266,-1.076,0.083,0,0.005,0.001,0,2
TMB,2026-05-11,2026-05-12,2026-05-25,681.45,635.53,773.29,819.21,Time Exit,10,0.111,0.016,0.004,0,0.004,0,0,1
AMBER,2026-05-12,2026-05-14,2026-05-18,8163.5,7801.22,8888.05,9250.33,Initial Stop,3,-4.738,-1.068,0.217,0,0.031,0.03,0,2
APOLLO,2026-05-12,2026-05-13,2026-05-20,294.85,273.59,337.37,358.63,T2,6,17.725,2.458,0.015,0,0.003,-0.001,0,1
BANDHANBNK,2026-05-12,2026-05-13,2026-05-26,196.07,186.16,215.88,225.79,Time Exit,10,1.908,0.378,0.156,0,0.038,0.028,0,2
CCL,2026-05-12,2026-05-13,2026-05-26,1094.5,1038.47,1206.57,1262.6,Time Exit,10,-3.096,-0.605,0.19,0,-0.002,-0.004,0,0
GLENMARK,2026-05-12,2026-05-13,2026-05-22,2245.2,2160.47,2414.65,2499.37,Runner Stop,8,3.474,0.921,0.168,0,-0.011,0.016,0,1
GVT&D,2026-05-12,2026-05-13,2026-05-21,4257.8,4028.66,4716.08,4945.22,T2,7,13.154,2.444,0.18,0,-0.025,-0.018,0,0
INGERRAND,2026-05-12,2026-05-13,2026-05-26,4293.6,4101.49,4677.81,4869.92,Time Exit,10,0.988,0.221,0.079,0,0,0,0,0
J&KBANK,2026-05-12,2026-05-13,2026-05-26,130.05,122.79,144.56,151.82,Time Exit,10,7.474,1.339,0.039,0,0.001,0.002,0,2
JAYNECOIND,2026-05-12,2026-05-13,2026-05-26,102.85,96.58,115.39,121.66,Time Exit,10,-0.631,-0.103,0.001,0,0.001,-0.002,0,1
LINDEINDIA,2026-05-12,2026-05-13,2026-05-18,7455,7162.95,8039.11,8331.16,Initial Stop,4,-4.218,-1.077,0.064,0,-0.001,0.002,0,1
MAHABANK,2026-05-12,2026-05-13,2026-05-26,78.35,74.76,85.52,89.11,Time Exit,10,2.036,0.445,0.063,0,0.01,0.007,0,2
NAM-INDIA,2026-05-12,2026-05-13,2026-05-26,1038.1,983.18,1147.95,1202.87,Time Exit,10,5.249,0.992,0.1,0,0.012,0.004,0,2
NETWEB,2026-05-12,2026-05-13,2026-05-18,4016,3737.93,4572.14,4850.21,Initial Stop,4,-7.224,-1.043,0.041,0,0.011,-0.003,0,1
NLCINDIA,2026-05-12,2026-05-13,2026-05-14,308,290.84,342.32,359.48,T2,2,13.628,2.446,0.095,0,-0.001,-0.002,0,0
PAISALO,2026-05-12,2026-05-13,2026-05-26,44.95,42.21,50.42,53.16,Time Exit,10,10.493,1.724,0,0,0,0,0,0
POCL,2026-05-12,2026-05-13,2026-05-13,1300.5,1243.86,1413.77,1470.41,T2,1,10.587,2.431,0.017,0,0.001,-0.003,0,1
PTC,2026-05-12,2026-05-13,2026-05-20,200.5,190.25,221,231.26,Initial Stop,6,-5.413,-1.059,0.033,0,0.011,0.002,0,2
RBLBANK,2026-05-12,2026-05-13,2026-05-26,325.25,308.54,358.66,375.37,Time Exit,10,5.542,1.079,0.368,0,0.023,0.038,0,2
SANSERA,2026-05-12,2026-05-13,2026-05-21,2360,2267.17,2545.66,2638.5,Gap T2,7,13.379,3.401,0.263,0,-0.006,-0.003,0,0
SARDAEN,2026-05-12,2026-05-13,2026-05-18,562.15,539.86,606.74,629.03,Initial Stop,4,-4.266,-1.076,0.005,0,0.003,-0.001,0,1
SIEMENS,2026-05-12,2026-05-13,2026-05-26,3574.4,3433.39,3856.42,3997.43,Time Exit,10,5.083,1.288,0.037,0,0.002,-0.001,0,1
STYLEBAAZA,2026-05-12,2026-05-13,2026-05-18,391.15,367.47,438.51,462.19,Initial Stop,4,-6.354,-1.05,0.048,0,-0.004,-0.018,0,0
AUBANK,2026-05-13,2026-05-14,2026-05-20,994.8,960.4,1063.59,1097.99,Initial Stop,5,-3.758,-1.087,0.232,0,0.006,-0.004,0,1
AVANTIFEED,2026-05-13,2026-05-14,2026-05-18,1344.5,1254.56,1524.38,1614.31,Initial Stop,3,-6.989,-1.045,0.064,0,0.026,0,0,1
BAJAJ-AUTO,2026-05-13,2026-05-14,2026-05-27,10262,9863.61,11058.79,11457.18,Time Exit,10,5.025,1.294,0.072,0,0.001,-7.01,0,1
GESHIP,2026-05-13,2026-05-14,2026-05-18,1498.4,1421.51,1652.19,1729.08,T2,3,12.529,2.442,0.147,0,-0.009,0.006,0,1
GOODLUCK,2026-05-13,2026-05-14,2026-05-27,1302.1,1225.33,1455.64,1532.4,Time Exit,10,8.637,1.465,0.01,0,-0.001,0.008,0,1
MUTHOOTMF,2026-05-13,2026-05-14,2026-05-27,186.69,173.85,212.37,225.21,Time Exit,10,-5.008,-0.728,0,0,0,0,0,0
POWERINDIA,2026-05-13,2026-05-14,2026-05-21,31745,30244.55,34745.89,36246.34,T2,6,11.516,2.437,0.043,0,0.001,-0.006,0,1
SYRMA,2026-05-13,2026-05-14,2026-05-18,1035.65,972.48,1161.99,1225.16,Initial Stop,3,-6.4,-1.049,0.097,0,-0.003,-0.006,0,0
HAPPYFORGE,2026-05-14,2026-05-15,2026-05-27,1381,1316.51,1509.99,1574.48,Time Exit,10,2.3,0.492,0.146,0,0.03,-0.001,0,1
WOCKPHARMA,2026-05-14,2026-05-15,2026-05-27,1547.2,1447.58,1746.45,1846.08,Time Exit,10,13.371,2.077,0.081,0,0.004,-0.001,0,1
AJANTPHARM,2026-05-22,2026-05-25,2026-05-29,3107.5,2981.19,3360.13,3486.44,Initial Stop,5,-4.365,-1.074,0.152,0,-0.003,0.008,0,1
PTC,2026-05-22,2026-05-25,2026-05-29,193.77,182.55,216.2,227.42,Initial Stop,5,-6.088,-1.052,0.033,0,0.011,0.002,0,2
SCI,2026-05-22,2026-05-25,2026-05-29,316.3,291.72,365.47,390.05,Initial Stop,5,-8.073,-1.039,0.006,0,0.001,0.003,0,2
VIJAYA,2026-05-22,2026-05-25,2026-06-05,1227.1,1150.79,1379.72,1456.04,Time Exit,10,11.839,1.904,0.291,0,0.011,0.032,0,2
GESHIP,2026-05-27,2026-05-27,2026-06-10,1511.3,1393.23,1747.44,1865.51,Initial Stop,10,-8.113,-1.038,0.147,0,-0.009,0.006,0,1
NYKAA,2026-05-27,2026-05-27,2026-06-10,263.15,252.64,284.18,294.69,Time Exit,10,-0.585,-0.146,0.196,0,0.001,0.004,0,2
GAEL,2026-05-29,2026-06-01,2026-06-12,154.89,148.09,168.49,175.29,Time Exit,10,1.598,0.364,0.002,0,0,0,0,0
SCHNEIDER,2026-05-29,2026-06-01,2026-06-02,1243.4,1207.83,1314.55,1350.12,Gap Initial Stop,2,-5.294,-1.851,0.033,0,0.007,-0.001,0,1
SUNFLAG,2026-05-29,2026-06-01,2026-06-04,365.05,350.3,394.55,409.3,T2,4,9.802,2.426,0,0,-0.001,0,0,0
ACUTAAS,2026-06-16,2026-06-17,2026-06-29,2982,2806.25,3333.5,3509.25,T2,9,14.434,2.449,0.139,0,-0.013,-0.007,0,0
ASTERDM,2026-06-16,2026-06-17,2026-06-30,778.9,744.5,847.7,882.1,Time Exit,10,0.413,0.093,0.265,0,0.019,-0.003,0,1
GLAND,2026-06-16,2026-06-17,2026-06-30,2178.7,2062.46,2411.18,2527.42,T2,10,13.038,2.444,0.318,0,0.004,0.012,0,2
SANDHAR,2026-06-16,2026-06-17,2026-06-30,685,637.05,780.89,828.84,Time Exit,10,4.357,0.622,0.174,0,0.016,-0.001,0,1
WHEELS,2026-06-17,2026-06-18,2026-06-29,1528,1444.27,1695.46,1779.19,T2,8,13.399,2.445,0.089,0,-0.001,-0.005,0,0
CHENNPETRO,2026-06-18,2026-06-19,2026-07-02,1119.4,1045.51,1267.19,1341.08,Time Exit,10,1.013,0.153,0.016,0,0.009,-1.763,0,1
BAJAJCON,2026-06-23,2026-06-24,2026-07-07,581.55,549.97,644.7,676.28,Time Exit,10,6.355,1.17,0.134,0,-0.016,0.004,0,1
BALAMINES,2026-06-23,2026-06-24,2026-06-29,2067.5,1925.13,2352.25,2494.63,Initial Stop,4,-7.186,-1.044,0.001,0,0,0,0,0
KERNEX,2026-06-23,2026-06-24,2026-07-01,1960.7,1838.56,2204.99,2327.13,T2,6,15.274,2.452,0,0,-0.003,,0,0
MAYURUNIQ,2026-06-23,2026-06-25,2026-07-08,791.5,745.79,882.93,928.64,Time Exit,10,9.376,1.623,0.023,0,0.001,0.001,0,2
SOUTHBANK,2026-06-23,2026-06-24,2026-07-07,45.8,43.72,49.97,52.05,Time Exit,10,3.783,0.832,0.113,0,-0.006,0.019,0,1
STYLAMIND,2026-06-23,2026-06-24,2026-07-07,3140.3,2994.56,3431.78,3577.51,Time Exit,10,-2.106,-0.454,0.09,0,0,-0.003,0,0
BLISSGVS,2026-06-24,2026-06-25,2026-06-29,460.1,434.3,511.71,537.51,T2,3,13.721,2.447,0,0,0,0,0,0
DATAPATTNS,2026-06-24,2026-06-25,2026-07-08,4620.1,4294.75,5270.8,5596.14,Initial Stop,10,-7.342,-1.043,0.092,0,0.016,0.002,0,2
SPARC,2026-06-24,2026-06-25,2026-07-08,226.86,211.12,258.34,274.08,T2,10,17.045,2.457,0.001,0,-0.008,0.001,0,1
ZENTEC,2026-06-24,2026-06-25,2026-06-29,1842.8,1736.33,2055.75,2162.22,Initial Stop,3,-6.078,-1.052,0.067,0,0.017,-0.002,0,1
ABSLAMC,2026-06-25,2026-06-29,2026-07-10,1140,1076.64,1266.72,1330.09,Time Exit,10,0.279,0.05,0.064,0,0.006,-0.002,0,1
CARBORUNIV,2026-06-25,2026-06-25,2026-07-09,1143.3,1066.12,1297.66,1374.84,Time Exit,10,-4.979,-0.738,0.278,0,-0.001,0.001,0,1
GOCLCORP,2026-06-25,2026-06-25,2026-07-09,408.8,384.69,457.01,481.12,Time Exit,10,-0.006,-0.001,0,0,0,0,0,0
MANINDS,2026-06-25,2026-06-25,2026-07-09,569.15,531.29,644.87,682.73,Time Exit,10,0.605,0.091,0,0,0,0,0,0
NAM-INDIA,2026-06-25,2026-06-25,2026-07-09,1139,1093.89,1229.21,1274.32,Time Exit,10,7.137,1.802,0.1,0,0.012,0.004,0,2
NIBE,2026-06-25,2026-06-29,2026-07-07,1650.5,1532.24,1887.03,2005.29,Initial Stop,7,-7.465,-1.042,0,0,0,,0.005,0
SAMMAANCAP,2026-06-25,2026-06-25,2026-07-09,169.81,161.61,186.21,194.4,Initial Stop,10,-5.128,-1.062,0.076,0,-0.008,-0.031,0,0
UNIPARTS,2026-06-25,2026-06-25,2026-07-09,651.85,618.71,718.13,751.27,Time Exit,10,4.088,0.804,0.015,0,0.002,0,0,1
DREDGECORP,2026-06-29,2026-06-30,2026-07-13,1067.1,986.76,1227.78,1308.12,Time Exit,10,-2.577,-0.342,0.045,0,0.009,0.016,0,2
WABAG,2026-06-29,2026-06-30,2026-07-13,1998.1,1885.06,2224.17,2337.21,Time Exit,10,10.552,1.865,0.051,0,0.013,0.002,0,2
KIRLOSENG,2026-06-30,2026-07-01,2026-07-14,2364,2193.46,2705.09,2875.63,Time Exit,10,-0.372,-0.052,0.249,0,-0.012,0.006,0,1
RRKABEL,2026-07-01,2026-07-02,2026-07-07,2381.7,2258.11,2628.88,2752.47,Initial Stop,4,-5.489,-1.058,0.114,0,-0.004,0.006,0,1
SANSTAR,2026-07-01,2026-07-02,2026-07-08,119.26,111.4,134.97,142.83,Initial Stop,5,-6.888,-1.046,0,0,0,,0,0
VADILALIND,2026-07-01,2026-07-02,2026-07-14,6034.5,5838.84,6425.82,6621.48,T2,9,7.806,2.407,0,0,0,0,0,0
AVL,2026-07-02,2026-07-03,2026-07-16,640.35,602.23,716.6,754.73,Time Exit,10,-1.206,-0.203,0.19,0,0.022,-9.362,0,1
LLOYDSENGG,2026-07-02,2026-07-03,2026-07-16,83.27,76.73,96.35,102.89,Time Exit,10,6.089,0.775,0.002,0,0,0,0,0
AIAENG,2026-07-03,2026-07-06,2026-07-17,4710,4532.14,5065.71,5243.57,Time Exit,10,-1.627,-0.431,0.201,0,-0.005,-0.001,0,0
CEIGALL,2026-07-03,2026-07-06,2026-07-17,364.1,345.33,401.64,420.4,Initial Stop,10,-5.455,-1.058,0.016,0,0.002,-0.005,0,1
FINCABLES,2026-07-03,2026-07-06,2026-07-07,1100.1,1038.27,1223.76,1285.59,Initial Stop,2,-5.92,-1.053,0.116,0,0.012,-0.003,0,1
THERMAX,2026-07-03,2026-07-06,2026-07-17,4590,4341.43,5087.14,5335.71,Time Exit,10,1.269,0.234,0.138,0,0.005,0.007,0,2
MAHABANK,2026-07-06,2026-07-07,2026-07-07,86.51,83.08,93.37,96.8,Initial Stop,1,-4.264,-1.076,0.063,0,0.01,0.007,0,2
ORCHPHARMA,2026-07-06,2026-07-07,2026-07-14,928.9,874.61,1037.47,1091.76,T2,6,14.311,2.449,0.194,0,0.014,0,0,1
PGIL,2026-07-06,2026-07-07,2026-07-20,1975.8,1853.55,2220.3,2342.55,Time Exit,10,5.718,0.924,0.183,0,0.02,0.028,0,2
PREMEXPLN,2026-07-06,2026-07-07,2026-07-07,742,694.83,836.34,883.52,Initial Stop,1,-6.657,-1.047,0.091,0,0,0,0,0
ACMESOLAR,2026-07-07,2026-07-08,2026-07-21,365,346.99,401.02,419.03,Time Exit,10,1.919,0.389,0.161,0,0.107,0.005,0,2
ARVIND,2026-07-07,2026-07-08,2026-07-21,533.15,506.86,585.73,612.02,Time Exit,10,-0.778,-0.158,0.196,0,0.007,0.006,0,2
AVALON,2026-07-07,2026-07-08,2026-07-21,1639.9,1542.73,1834.24,1931.41,Time Exit,10,5.987,1.01,0.223,0,0.006,0.012,0,2
CONFIPET,2026-07-07,2026-07-08,2026-07-21,69.79,64.88,79.61,84.52,Time Exit,10,8.097,1.151,0,0,0,0,0,0
INOXINDIA,2026-07-07,2026-07-08,2026-07-21,1799,1663.87,2069.25,2204.38,Time Exit,10,15.405,2.051,0.06,0,0.003,0.004,0,2
