symbol,signalDate,family,entryDate,exitDate,entryPrice,stop,t1,t2,exitReason,holdSessions,netReturnPct,netR,atrPct,momentumPercentile,footprintScore
GAEL,2026-04-17,Deep leader pullback,2026-04-20,2026-04-30,148.1,140.09,164.13,172.14,Time Exit,10,4.865,0.899,4.39,92.6,78
PFOCUS,2026-04-20,Deep leader pullback,2026-04-21,2026-04-29,327.55,302.44,377.76,402.87,Initial Stop,7,-7.965,-1.039,6.13,99.2,52
ABSLAMC,2026-04-22,Deep leader pullback,2026-04-23,2026-05-06,1019.95,964.3,1131.25,1186.91,Time Exit,10,4.284,0.785,4.37,92.5,85
EPL,2026-04-23,Deep leader pullback,2026-04-24,2026-05-07,223.21,211.63,246.37,257.95,Time Exit,10,4.695,0.905,4.15,81.9,50
BAJAJCON,2026-04-27,Deep leader pullback,2026-04-28,2026-05-08,448.35,417.75,509.56,540.16,T2,9,16.764,2.456,5.46,98.5,68
APOLLOPIPE,2026-04-28,Deep leader pullback,2026-04-29,2026-05-07,433.2,401.11,497.39,529.48,T2,7,18.221,2.46,5.93,86.7,60
LUMAXTECH,2026-04-28,Deep leader pullback,2026-04-29,2026-04-30,1663.2,1559.77,1870.06,1973.49,Initial Stop,2,-6.519,-1.048,4.97,98.3,52
JINDALSAW,2026-04-29,Deep leader pullback,2026-04-30,2026-05-13,228,214.86,254.27,267.41,Time Exit,10,2.261,0.392,5.2,83.1,55
DIACABS,2026-04-30,Deep leader pullback,2026-04-30,2026-05-14,157.8,147.62,178.15,188.33,T2,10,15.822,2.453,5.16,86.3,78
GRAPHITE,2026-04-30,Deep leader pullback,2026-05-04,2026-05-15,707.1,667.26,786.78,826.62,Time Exit,10,10.097,1.792,4.51,89.2,60
KRISHANA,2026-04-30,Deep leader pullback,2026-05-04,2026-05-15,600.1,554.09,692.13,738.14,Time Exit,10,13.162,1.717,6.13,90.7,69
PFC,2026-04-30,Deep leader pullback,2026-04-30,2026-05-14,448.4,431.56,482.09,498.93,Time Exit,10,0.38,0.101,3.01,83.1,50
