symbol,signalDate,family,entryDate,exitDate,entryPrice,stop,t1,t2,exitReason,holdSessions,netReturnPct,netR,atrPct,momentumPercentile,footprintScore
GAEL,2026-04-17,M90 leader,2026-04-20,2026-04-30,148.1,140.09,164.13,172.14,Time Exit,10,4.865,0.899,4.39,92.6,78
PFOCUS,2026-04-20,M90 leader,2026-04-21,2026-04-29,327.55,302.44,377.76,402.87,Initial Stop,7,-7.965,-1.039,6.13,99.2,52
ABSLAMC,2026-04-22,M90 leader,2026-04-23,2026-05-06,1019.95,964.3,1131.25,1186.91,Time Exit,10,4.284,0.785,4.37,92.5,85
BAJAJCON,2026-04-27,M90 leader,2026-04-28,2026-05-08,448.35,417.75,509.56,540.16,T2,9,16.764,2.456,5.46,98.5,68
LUMAXTECH,2026-04-28,M90 leader,2026-04-29,2026-04-30,1663.2,1559.77,1870.06,1973.49,Initial Stop,2,-6.519,-1.048,4.97,98.3,52
KRISHANA,2026-04-30,M90 leader,2026-05-04,2026-05-15,600.1,554.09,692.13,738.14,Time Exit,10,13.162,1.717,6.13,90.7,69
GMDCLTD,2026-05-06,M90 leader,2026-05-07,2026-05-11,699.8,655.08,789.24,833.96,Initial Stop,3,-6.69,-1.047,5.11,91.7,50
ABCAPITAL,2026-05-11,M90 leader,2026-05-12,2026-05-25,352.45,338.73,379.89,393.61,Time Exit,10,2.878,0.739,3.22,90.3,67
ADANIENSOL,2026-05-11,M90 leader,2026-05-12,2026-05-13,1340.4,1252.06,1517.08,1605.42,Initial Stop,2,-6.891,-1.046,5.27,92.4,85
KTKBANK,2026-05-11,M90 leader,2026-05-12,2026-05-18,250.5,240.57,270.37,280.3,Initial Stop,5,-4.266,-1.076,3.51,93.8,52
TMB,2026-05-11,M90 leader,2026-05-12,2026-05-25,681.45,635.53,773.29,819.21,Time Exit,10,0.111,0.016,5.39,94.6,60
APOLLO,2026-05-12,M90 leader,2026-05-13,2026-05-20,294.85,273.59,337.37,358.63,T2,6,17.725,2.458,5.77,90.7,68
GLENMARK,2026-05-12,M90 leader,2026-05-13,2026-05-22,2245.2,2160.47,2414.65,2499.37,Runner Stop,8,3.474,0.921,3.42,95.7,69
GVT&D,2026-05-12,M90 leader,2026-05-13,2026-05-21,4257.8,4028.66,4716.08,4945.22,T2,7,13.154,2.444,4.74,98.3,55
JAYNECOIND,2026-05-12,M90 leader,2026-05-13,2026-05-26,102.85,96.58,115.39,121.66,Time Exit,10,-0.631,-0.103,5.42,96.4,60
LINDEINDIA,2026-05-12,M90 leader,2026-05-13,2026-05-18,7455,7162.95,8039.11,8331.16,Initial Stop,4,-4.218,-1.077,3.13,90.2,67
MAHABANK,2026-05-12,M90 leader,2026-05-13,2026-05-26,78.35,74.76,85.52,89.11,Time Exit,10,2.036,0.445,3.68,95.1,60
MBAPL,2026-05-12,M90 leader,2026-05-13,2026-05-19,547.6,523.07,596.65,621.18,Initial Stop,5,-4.779,-1.067,3.58,97.4,50
NETWEB,2026-05-12,M90 leader,2026-05-13,2026-05-18,4016,3737.93,4572.14,4850.21,Initial Stop,4,-7.224,-1.043,5.54,94.5,85
PAISALO,2026-05-12,M90 leader,2026-05-13,2026-05-26,44.95,42.21,50.42,53.16,Time Exit,10,10.493,1.724,4.87,92.9,60
SANSERA,2026-05-12,M90 leader,2026-05-13,2026-05-21,2360,2267.17,2545.66,2638.5,Gap T2,7,13.379,3.401,4.01,98.5,52
AVANTIFEED,2026-05-13,M90 leader,2026-05-14,2026-05-18,1344.5,1254.56,1524.38,1614.31,Initial Stop,3,-6.989,-1.045,5.35,94.5,52
GESHIP,2026-05-13,M90 leader,2026-05-14,2026-05-18,1498.4,1421.51,1652.19,1729.08,T2,3,12.529,2.442,4.11,96.7,68
POWERINDIA,2026-05-13,M90 leader,2026-05-14,2026-05-21,31745,30244.55,34745.89,36246.34,T2,6,11.516,2.437,3.78,96.9,45
SYRMA,2026-05-13,M90 leader,2026-05-14,2026-05-18,1035.65,972.48,1161.99,1225.16,Initial Stop,3,-6.4,-1.049,4.88,94,47
HAPPYFORGE,2026-05-14,M90 leader,2026-05-15,2026-05-27,1381,1316.51,1509.99,1574.48,Time Exit,10,2.3,0.492,3.89,96.4,59
AJANTPHARM,2026-05-22,M90 leader,2026-05-25,2026-05-29,3107.5,2981.19,3360.13,3486.44,Initial Stop,5,-4.365,-1.074,3.25,92.1,60
SCI,2026-05-22,M90 leader,2026-05-25,2026-05-29,316.3,291.72,365.47,390.05,Initial Stop,5,-8.073,-1.039,6.22,92.4,60
VIJAYA,2026-05-22,M90 leader,2026-05-25,2026-06-05,1227.1,1150.79,1379.72,1456.04,Time Exit,10,11.839,1.904,4.98,90.6,60
GESHIP,2026-05-27,M90 leader,2026-05-27,2026-06-10,1511.3,1393.23,1747.44,1865.51,Initial Stop,10,-8.113,-1.038,6.25,95.1,50
GAEL,2026-05-29,M90 leader,2026-06-01,2026-06-12,154.89,148.09,168.49,175.29,Time Exit,10,1.598,0.364,3.51,91.4,50
PRECWIRE,2026-05-29,M90 leader,2026-06-01,2026-06-11,420.35,388.55,483.95,515.75,Initial Stop,9,-7.865,-1.04,6.05,98,67
SUNFLAG,2026-05-29,M90 leader,2026-06-01,2026-06-04,365.05,350.3,394.55,409.3,T2,4,9.802,2.426,5.02,90.3,50
ACUTAAS,2026-06-16,M90 leader,2026-06-17,2026-06-29,2982,2806.25,3333.5,3509.25,T2,9,14.434,2.449,5.08,99,60
ASTERDM,2026-06-16,M90 leader,2026-06-17,2026-06-30,778.9,744.5,847.7,882.1,Time Exit,10,0.413,0.093,3.65,94.2,47
GLAND,2026-06-16,M90 leader,2026-06-17,2026-06-30,2178.7,2062.46,2411.18,2527.42,T2,10,13.038,2.444,4.27,90.1,67
WHEELS,2026-06-17,M90 leader,2026-06-18,2026-06-29,1528,1444.27,1695.46,1779.19,T2,8,13.399,2.445,5.78,98.6,60
CHENNPETRO,2026-06-18,M90 leader,2026-06-19,2026-07-02,1119.4,1045.51,1267.19,1341.08,Time Exit,10,1.013,0.153,5.28,92.1,60
BAJAJCON,2026-06-23,M90 leader,2026-06-24,2026-07-07,581.55,549.97,644.7,676.28,Time Exit,10,6.355,1.17,4.34,99.1,75
BALAMINES,2026-06-23,M90 leader,2026-06-24,2026-06-29,2067.5,1925.13,2352.25,2494.63,Initial Stop,4,-7.186,-1.044,5.51,92.3,60
KERNEX,2026-06-23,M90 leader,2026-06-24,2026-07-01,1960.7,1838.56,2204.99,2327.13,T2,6,15.274,2.452,4.98,96.4,52
MAYURUNIQ,2026-06-23,M90 leader,2026-06-25,2026-07-08,791.5,745.79,882.93,928.64,Time Exit,10,9.376,1.623,4.62,96,50
STYLAMIND,2026-06-23,M90 leader,2026-06-24,2026-07-07,3140.3,2994.56,3431.78,3577.51,Time Exit,10,-2.106,-0.454,3.75,98.3,50
BLISSGVS,2026-06-24,M90 leader,2026-06-25,2026-06-29,460.1,434.3,511.71,537.51,T2,3,13.721,2.447,4.49,99.3,50
DATAPATTNS,2026-06-24,M90 leader,2026-06-25,2026-07-08,4620.1,4294.75,5270.8,5596.14,Initial Stop,10,-7.342,-1.043,5.63,96.3,60
SPARC,2026-06-24,M90 leader,2026-06-25,2026-07-08,226.86,211.12,258.34,274.08,T2,10,17.045,2.457,5.55,92.8,60
ABSLAMC,2026-06-25,M90 leader,2026-06-29,2026-07-10,1140,1076.64,1266.72,1330.09,Time Exit,10,0.279,0.05,4.53,93.1,68
CARBORUNIV,2026-06-25,M90 leader,2026-06-25,2026-07-09,1143.3,1066.12,1297.66,1374.84,Time Exit,10,-4.979,-0.738,5.4,90.6,85
NAM-INDIA,2026-06-25,M90 leader,2026-06-25,2026-07-09,1139,1093.89,1229.21,1274.32,Time Exit,10,7.137,1.802,3.17,91.2,52
UNIPARTS,2026-06-25,M90 leader,2026-06-25,2026-07-09,651.85,618.71,718.13,751.27,Time Exit,10,4.088,0.804,4.07,94.3,67
WABAG,2026-06-29,M90 leader,2026-06-30,2026-07-13,1998.1,1885.06,2224.17,2337.21,Time Exit,10,10.552,1.865,4.53,95,85
KIRLOSENG,2026-06-30,M90 leader,2026-07-01,2026-07-14,2364,2193.46,2705.09,2875.63,Time Exit,10,-0.372,-0.052,5.77,99,77
RRKABEL,2026-07-01,M90 leader,2026-07-02,2026-07-07,2381.7,2258.11,2628.88,2752.47,Initial Stop,4,-5.489,-1.058,4.15,97.2,45
AVL,2026-07-02,M90 leader,2026-07-03,2026-07-16,640.35,602.23,716.6,754.73,Time Exit,10,-1.206,-0.203,4.76,95.9,77
CEIGALL,2026-07-03,M90 leader,2026-07-06,2026-07-17,364.1,345.33,401.64,420.4,Initial Stop,10,-5.455,-1.058,4.12,92.3,68
THERMAX,2026-07-03,M90 leader,2026-07-06,2026-07-17,4590,4341.43,5087.14,5335.71,Time Exit,10,1.269,0.234,4.62,93.5,69
MAHABANK,2026-07-06,M90 leader,2026-07-07,2026-07-07,86.51,83.08,93.37,96.8,Initial Stop,1,-4.264,-1.076,3.17,93.7,85
ACMESOLAR,2026-07-07,M90 leader,2026-07-08,2026-07-21,365,346.99,401.02,419.03,Time Exit,10,1.919,0.389,4.39,94.7,60
ARVIND,2026-07-07,M90 leader,2026-07-08,2026-07-21,533.15,506.86,585.73,612.02,Time Exit,10,-0.778,-0.158,4.78,97.4,69
AVALON,2026-07-07,M90 leader,2026-07-08,2026-07-21,1639.9,1542.73,1834.24,1931.41,Time Exit,10,5.987,1.01,4.74,96.8,78
CONFIPET,2026-07-07,M90 leader,2026-07-08,2026-07-21,69.79,64.88,79.61,84.52,Time Exit,10,8.097,1.151,6.24,92.7,85
INOXINDIA,2026-07-07,M90 leader,2026-07-08,2026-07-21,1799,1663.87,2069.25,2204.38,Time Exit,10,15.405,2.051,6.31,95.6,50
KIRLPNU,2026-07-07,M90 leader,2026-07-08,2026-07-21,1760,1625.23,2029.54,2164.31,Initial Stop,10,-7.957,-1.039,6.25,95.5,60
PARACABLES,2026-07-07,M90 leader,2026-07-08,2026-07-20,67,63.06,74.88,78.82,Initial Stop,9,-6.179,-1.051,6.26,90.9,68
DATAPATTNS,2026-07-09,M90 leader,2026-07-10,2026-07-20,4284,4057.71,4736.59,4962.88,Initial Stop,7,-5.582,-1.057,4.23,93.4,60
MAYURUNIQ,2026-07-09,M90 leader,2026-07-10,2026-07-17,833.3,788.08,923.75,968.97,Initial Stop,6,-5.727,-1.055,4.34,96,68
SCHNEIDER,2026-07-10,M90 leader,2026-07-13,2026-07-16,1410,1320.24,1589.51,1679.27,Initial Stop,4,-6.666,-1.047,5.31,94.2,52
ASTRAMICRO,2026-07-13,M90 leader,2026-07-14,2026-07-27,1717.4,1633.16,1885.89,1970.13,Time Exit,10,4.614,0.941,4.03,97.6,60
SPARC,2026-07-14,M90 leader,2026-07-15,2026-07-17,247.83,230.96,281.57,298.45,Initial Stop,3,-7.108,-1.044,5.45,94.5,77
JAYBARMARU,2026-07-16,M90 leader,2026-07-17,2026-07-20,176.65,166.55,196.84,206.94,Gap Initial Stop,2,-7.461,-1.305,5.88,97.7,52
WABAG,2026-07-16,M90 leader,2026-07-17,2026-07-28,2052.5,1911.03,2335.45,2476.92,Initial Stop,8,-7.193,-1.044,5.58,95.3,60
KIRLOSENG,2026-07-17,M90 leader,2026-07-20,2026-07-31,2255.7,2108.24,2550.63,2698.09,Time Exit,10,-3.221,-0.493,5.23,98.7,50
SYRMA,2026-07-17,M90 leader,2026-07-20,2026-07-24,1349.8,1293.91,1461.58,1517.46,Initial Stop,5,-4.44,-1.072,3.84,98.5,50
NRBBEARING,2026-07-20,M90 leader,2026-07-21,2026-07-24,404.75,383.36,447.53,468.92,Initial Stop,4,-5.584,-1.057,4.23,95.3,50
RML,2026-07-20,M90 leader,2026-07-21,2026-07-24,1178,1105.54,1322.92,1395.38,Initial Stop,4,-6.451,-1.049,4.92,92.5,50
HONASA,2026-07-21,M90 leader,2026-07-23,2026-08-05,451.1,432.28,488.73,507.55,Time Exit,10,1.595,0.382,3.34,98,60
RATEGAIN,2026-07-21,M90 leader,2026-07-22,2026-07-23,920,881.52,996.97,1035.45,Initial Stop,2,-4.483,-1.072,3.88,95.3,78
ACMESOLAR,2026-07-22,M90 leader,2026-07-23,2026-07-28,367.3,351.12,399.66,415.85,Initial Stop,4,-4.706,-1.068,4,95.4,68
BLSE,2026-07-22,M90 leader,2026-07-23,2026-08-03,259.75,244.67,289.92,305,Gap T2,8,14.429,2.485,4.74,95.6,50
SAKAR,2026-07-22,M90 leader,2026-07-23,2026-08-05,830.25,774.23,942.29,998.32,Time Exit,10,10.088,1.495,6.02,99,50
CHENNPETRO,2026-07-27,M90 leader,2026-07-28,2026-08-10,1168.8,1075.58,1355.25,1448.47,Time Exit,10,5.8,0.727,6.38,91.2,69
AKUMS,2026-07-28,M90 leader,2026-07-29,2026-08-11,662,629.62,726.76,759.14,T2,10,11.929,2.439,3.93,93.9,52
INOXINDIA,2026-07-28,M90 leader,2026-07-29,2026-08-11,1896.1,1772.28,2143.74,2267.56,Time Exit,10,1.91,0.292,5.22,96.4,60
RISHABH,2026-07-28,M90 leader,2026-07-30,2026-08-12,602.95,571.33,666.18,697.8,Time Exit,10,10.363,1.976,4.19,95.1,50
SENORES,2026-07-29,M90 leader,2026-07-30,2026-08-12,1318.3,1246.21,1462.48,1534.57,Time Exit,10,11.772,2.153,4.37,97.6,47
SOTL,2026-07-29,M90 leader,2026-07-30,2026-08-06,608.9,565.04,696.62,740.48,Gap T2,6,20.46,2.841,5.81,94.5,85
WABAG,2026-07-29,M90 leader,2026-07-30,2026-08-12,1872,1764.74,2086.53,2193.79,Time Exit,10,1.388,0.242,4.77,92.3,52
ACMESOLAR,2026-08-10,M90 leader,2026-08-11,2026-08-24,364,348.22,395.57,411.35,T2,10,10.541,2.431,3.85,93.8,50
AEGISLOG,2026-08-11,M90 leader,2026-08-12,2026-08-25,1297.1,1203.98,1483.33,1576.45,Time Exit,10,1.589,0.221,5.77,95.9,60
SGFIN,2026-08-11,M90 leader,2026-08-12,2026-08-25,660.2,619.23,742.15,783.12,Time Exit,10,5.804,0.935,4.96,94.6,50
ASTERDM,2026-08-12,M90 leader,2026-08-13,2026-08-19,827.95,790.5,902.85,940.3,Gap Initial Stop,5,-6.103,-1.349,3.62,92.8,61
RPTECH,2026-08-12,M90 leader,2026-08-13,2026-08-25,849,796.75,953.49,1005.74,Initial Stop,9,-6.454,-1.049,5.44,99.2,75
TMB,2026-08-13,M90 leader,2026-08-17,2026-08-28,845.85,805.08,927.39,968.15,Time Exit,10,4.453,0.924,3.86,93.2,50
PGIL,2026-08-17,M90 leader,2026-08-18,2026-08-31,2378,2254.37,2625.27,2748.9,Time Exit,10,3.308,0.636,4.16,94.2,60
BLUESTONE,2026-08-18,M90 leader,2026-08-19,2026-09-01,820.4,758.58,944.04,1005.86,Time Exit,10,-1.172,-0.155,6.03,95.8,52
UNIVCABLES,2026-08-21,M90 leader,2026-08-25,2026-09-04,1592.5,1469.79,1837.93,1960.64,Time Exit,9,-1.317,-0.171,6.16,97.3,52
EMIL,2026-08-24,M90 leader,2026-08-25,2026-09-04,183,170.24,208.52,221.27,Initial Stop,9,-7.271,-1.043,5.77,94.1,60
MPSLTD,2026-08-24,M90 leader,2026-08-25,2026-09-03,2734.8,2586.34,3031.71,3180.17,Initial Stop,8,-5.728,-1.055,4.34,92.7,50
DIVGIITTS,2026-08-25,M90 leader,2026-08-26,2026-09-04,1190.35,1108.23,1354.58,1436.7,Time Exit,8,3.518,0.51,5.52,95.2,58
