symbol,strategy,signalDate,footprintScore,deliveryRatio,volumeRatio,entryDate,exitDate,entryPrice,stop,target,exitName,exitReason,holdSessions,netReturnPct,netR
3MINDIA,Relative-strength leader breakout,2026-01-01,93,1.264,1.305,2026-01-02,2026-01-07,36137.13,34691.5,39751.19,2.5R fixed target,Stop,4,-4.3,-1.075
ADANIENSOL,Relative-strength leader breakout,2026-01-01,68,1.278,2.898,2026-01-02,2026-01-08,1063.82,1022.48,1167.18,2.5R fixed target,Stop,5,-4.186,-1.077
AJANTPHARM,Relative-strength leader breakout,2026-01-01,78,1.851,3.582,2026-01-02,2026-01-06,2967.92,2820.19,3337.27,2.5R fixed target,Stop,3,-5.278,-1.06
ASHOKLEY,Relative-strength leader breakout,2026-01-01,93,1.217,1.793,2026-01-02,2026-01-08,185.93,178.91,203.49,2.5R fixed target,Time Exit,5,-1.059,-0.28
AVANTIFEED,Relative-strength leader breakout,2026-01-01,88,2.463,2.61,2026-01-02,2026-01-08,885.52,836.97,1006.88,2.5R fixed target,Stop,5,-5.782,-1.055
BANKBARODA,Relative-strength leader breakout,2026-01-01,69,0.91,1.234,2026-01-02,2026-01-08,303.51,294.84,325.18,2.5R fixed target,Time Exit,5,-1.603,-0.561
CUPID,Relative-strength leader breakout,2026-01-01,93,1.265,0.821,2026-01-02,2026-01-02,526.05,497.86,596.52,2.5R fixed target,Stop,1,-5.658,-1.056
IIFL,Relative-strength leader breakout,2026-01-01,75,0.805,0.752,2026-01-02,2026-01-08,623.5,594.23,696.67,2.5R fixed target,Time Exit,5,3.557,0.758
IIFLCAPS,Relative-strength leader breakout,2026-01-01,100,2.594,2.193,2026-01-05,2026-01-09,384.67,356.33,455.51,2.5R fixed target,Time Exit,5,-0.682,-0.093
INDUSINDBK,Relative-strength leader breakout,2026-01-01,93,1.28,1.418,2026-01-02,2026-01-08,896,860.73,984.17,2.5R fixed target,Time Exit,5,-1.701,-0.432
INDUSTOWER,Relative-strength leader breakout,2026-01-01,66,2.43,2.822,2026-01-02,2026-01-08,440.73,421.08,489.85,2.5R fixed target,Time Exit,5,-2.542,-0.57
KEI,Relative-strength leader breakout,2026-01-01,63,0.665,0.725,2026-01-02,2026-01-08,4532.05,4355.92,4972.36,2.5R fixed target,Time Exit,5,-3.117,-0.802
PNBHOUSING,Relative-strength leader breakout,2026-01-01,88,2.045,2.725,2026-01-02,2026-01-08,1000,950.88,1122.78,2.5R fixed target,Time Exit,5,-2.345,-0.477
